file,label,normalized_digits,font,font_source,split
train/000000.png,16:05,1605,C:\Windows\Fonts\consola.ttf,windows-surrogate,train
train/000001.png,351,351,C:\Windows\Fonts\consolab.ttf,windows-surrogate,train
train/000002.png,750-863,750863,C:\Windows\Fonts\courbd.ttf,windows-surrogate,train
train/000003.png,22:11,2211,C:\Windows\Fonts\courbd.ttf,windows-surrogate,train
train/000004.png,815.73,81573,C:\Windows\Fonts\arial.ttf,windows-surrogate,train
train/000005.png,23:37,2337,C:\Windows\Fonts\bahnschrift.ttf,windows-surrogate,train
train/000006.png,01:32,0132,C:\Windows\Fonts\consolab.ttf,windows-surrogate,train
train/000007.png,06:37,0637,C:\Windows\Fonts\bahnschrift.ttf,windows-surrogate,train
train/000008.png,2022/04/04,20220404,C:\Windows\Fonts\courbd.ttf,windows-surrogate,train
train/000009.png,2608,2608,C:\Windows\Fonts\bahnschrift.ttf,windows-surrogate,train
train/000010.png,2030/01/26,20300126,C:\Windows\Fonts\arial.ttf,windows-surrogate,train
train/000011.png,"￥139,402",139402,C:\Windows\Fonts\consola.ttf,windows-surrogate,train
train/000012.png,6920,6920,C:\Windows\Fonts\bahnschrift.ttf,windows-surrogate,train
train/000013.png,2031/01/24,20310124,C:\Windows\Fonts\consolab.ttf,windows-surrogate,train
train/000014.png,567-921,567921,C:\Windows\Fonts\bahnschrift.ttf,windows-surrogate,train
train/000015.png,84-4301,844301,C:\Windows\Fonts\cour.ttf,windows-surrogate,train
train/000016.png,05-7387,057387,C:\Windows\Fonts\courbd.ttf,windows-surrogate,train
train/000017.png,15:50,1550,C:\Windows\Fonts\arial.ttf,windows-surrogate,train
train/000018.png,30-5538,305538,C:\Windows\Fonts\bahnschrift.ttf,windows-surrogate,train
train/000019.png,"854,261",854261,C:\Windows\Fonts\courbd.ttf,windows-surrogate,train
train/000020.png,8943270,8943270,C:\Windows\Fonts\consola.ttf,windows-surrogate,train
train/000021.png,20340502,20340502,C:\Windows\Fonts\bahnschrift.ttf,windows-surrogate,train
train/000022.png,"¥614,167",614167,C:\Windows\Fonts\bahnschrift.ttf,windows-surrogate,train
train/000023.png,"894,567",894567,C:\Windows\Fonts\courbd.ttf,windows-surrogate,train
train/000024.png,13:47,1347,C:\Windows\Fonts\arial.ttf,windows-surrogate,train
train/000025.png,2025/05/08,20250508,C:\Windows\Fonts\cour.ttf,windows-surrogate,train
train/000026.png,"707,422",707422,C:\Windows\Fonts\consola.ttf,windows-surrogate,train
train/000027.png,043495805,043495805,C:\Windows\Fonts\consolab.ttf,windows-surrogate,train
train/000028.png,9,9,C:\Windows\Fonts\cour.ttf,windows-surrogate,train
train/000029.png,"¥287,748",287748,C:\Windows\Fonts\cour.ttf,windows-surrogate,train
train/000030.png,10:32,1032,C:\Windows\Fonts\courbd.ttf,windows-surrogate,train
train/000031.png,745-960,745960,C:\Windows\Fonts\courbd.ttf,windows-surrogate,train
train/000032.png,20330703,20330703,C:\Windows\Fonts\arial.ttf,windows-surrogate,train
train/000033.png,07:34,0734,C:\Windows\Fonts\consolab.ttf,windows-surrogate,train
train/000034.png,"837,602",837602,C:\Windows\Fonts\consolab.ttf,windows-surrogate,train
train/000035.png,521.50,52150,C:\Windows\Fonts\courbd.ttf,windows-surrogate,train
train/000036.png,21:14,2114,C:\Windows\Fonts\arial.ttf,windows-surrogate,train
train/000037.png,275.41,27541,C:\Windows\Fonts\arial.ttf,windows-surrogate,train
train/000038.png,"90,267",90267,C:\Windows\Fonts\cour.ttf,windows-surrogate,train
train/000039.png,233.81,23381,C:\Windows\Fonts\bahnschrift.ttf,windows-surrogate,train
train/000040.png,12:39,1239,C:\Windows\Fonts\consola.ttf,windows-surrogate,train
train/000041.png,20300508,20300508,C:\Windows\Fonts\consolab.ttf,windows-surrogate,train
train/000042.png,20210122,20210122,C:\Windows\Fonts\consola.ttf,windows-surrogate,train
train/000043.png,20350921,20350921,C:\Windows\Fonts\arial.ttf,windows-surrogate,train
train/000044.png,20300409,20300409,C:\Windows\Fonts\arial.ttf,windows-surrogate,train
train/000045.png,11:49,1149,C:\Windows\Fonts\consolab.ttf,windows-surrogate,train
train/000046.png,20240914,20240914,C:\Windows\Fonts\cour.ttf,windows-surrogate,train
train/000047.png,20330903,20330903,C:\Windows\Fonts\bahnschrift.ttf,windows-surrogate,train
train/000048.png,"848,768",848768,C:\Windows\Fonts\consolab.ttf,windows-surrogate,train
train/000049.png,"¥482,441",482441,C:\Windows\Fonts\arial.ttf,windows-surrogate,train
train/000050.png,56024,56024,C:\Windows\Fonts\bahnschrift.ttf,windows-surrogate,train
train/000051.png,957.45,95745,C:\Windows\Fonts\consolab.ttf,windows-surrogate,train
train/000052.png,75-3181,753181,C:\Windows\Fonts\courbd.ttf,windows-surrogate,train
train/000053.png,7221833066,7221833066,C:\Windows\Fonts\arial.ttf,windows-surrogate,train
train/000054.png,03:52,0352,C:\Windows\Fonts\arial.ttf,windows-surrogate,train
train/000055.png,024-804,024804,C:\Windows\Fonts\cour.ttf,windows-surrogate,train
train/000056.png,15,15,C:\Windows\Fonts\courbd.ttf,windows-surrogate,train
train/000057.png,804-461,804461,C:\Windows\Fonts\bahnschrift.ttf,windows-surrogate,train
train/000058.png,522.28,52228,C:\Windows\Fonts\consolab.ttf,windows-surrogate,train
train/000059.png,755.22,75522,C:\Windows\Fonts\consola.ttf,windows-surrogate,train
train/000060.png,65-6164,656164,C:\Windows\Fonts\consola.ttf,windows-surrogate,train
train/000061.png,721.92,72192,C:\Windows\Fonts\bahnschrift.ttf,windows-surrogate,train
train/000062.png,558.05,55805,C:\Windows\Fonts\courbd.ttf,windows-surrogate,train
train/000063.png,20310625,20310625,C:\Windows\Fonts\arial.ttf,windows-surrogate,train
train/000064.png,"723,815",723815,C:\Windows\Fonts\consola.ttf,windows-surrogate,train
train/000065.png,43-6359,436359,C:\Windows\Fonts\courbd.ttf,windows-surrogate,train
train/000066.png,"625,079",625079,C:\Windows\Fonts\consolab.ttf,windows-surrogate,train
train/000067.png,12:30,1230,C:\Windows\Fonts\courbd.ttf,windows-surrogate,train
train/000068.png,558.75,55875,C:\Windows\Fonts\consola.ttf,windows-surrogate,train
train/000069.png,"229,560",229560,C:\Windows\Fonts\consolab.ttf,windows-surrogate,train
train/000070.png,"237,710",237710,C:\Windows\Fonts\consola.ttf,windows-surrogate,train
train/000071.png,504-047,504047,C:\Windows\Fonts\courbd.ttf,windows-surrogate,train
train/000072.png,2025/11/02,20251102,C:\Windows\Fonts\consola.ttf,windows-surrogate,train
train/000073.png,20340922,20340922,C:\Windows\Fonts\consola.ttf,windows-surrogate,train
train/000074.png,229-728,229728,C:\Windows\Fonts\courbd.ttf,windows-surrogate,train
train/000075.png,50.75,5075,C:\Windows\Fonts\cour.ttf,windows-surrogate,train
train/000076.png,2020/10/18,20201018,C:\Windows\Fonts\cour.ttf,windows-surrogate,train
train/000077.png,20271006,20271006,C:\Windows\Fonts\consolab.ttf,windows-surrogate,train
train/000078.png,20330303,20330303,C:\Windows\Fonts\arial.ttf,windows-surrogate,train
train/000079.png,2029/03/18,20290318,C:\Windows\Fonts\consola.ttf,windows-surrogate,train
train/000080.png,20301222,20301222,C:\Windows\Fonts\cour.ttf,windows-surrogate,train
train/000081.png,696-415,696415,C:\Windows\Fonts\cour.ttf,windows-surrogate,train
train/000082.png,01:00,0100,C:\Windows\Fonts\courbd.ttf,windows-surrogate,train
train/000083.png,348.05,34805,C:\Windows\Fonts\consola.ttf,windows-surrogate,train
train/000084.png,2023/02/06,20230206,C:\Windows\Fonts\bahnschrift.ttf,windows-surrogate,train
train/000085.png,2023/12/14,20231214,C:\Windows\Fonts\cour.ttf,windows-surrogate,train
